Iteration,temps total,temps attente agv2,stock max warehouse
791,6117.82,91.12,1
792,6099.62,89.94,1
793,6101.93,88.12,1
794,6105.20,90.02,1
795,6141.30,89.80,1
796,6139.71,95.40,1
797,6147.22,92.70,1
798,6152.20,92.36,1
799,6136.86,91.75,1
800,6059.90,90.50,1
801,6102.51,91.08,1
802,6134.49,87.93,1
803,6088.50,95.39,1
804,6106.07,90.89,1
805,6118.16,97.09,1
806,6137.54,91.50,1
807,6179.63,86.42,1
808,6117.54,97.52,1
809,6105.25,85.48,1
810,6147.03,91.10,1
811,6124.02,83.77,1
812,6187.04,88.98,1
813,6101.62,95.39,1
814,6085.41,85.45,1
815,6070.25,89.63,1
816,6092.38,87.77,1
817,6149.36,90.84,1
818,6071.51,83.75,1
819,6138.62,94.09,1
820,6120.54,94.02,1
821,6099.48,95.74,1
822,6111.66,93.26,1
823,6123.55,91.43,1
824,6072.77,97.50,1
825,6100.39,92.33,1
826,6106.37,96.16,1
827,6141.96,91.10,2
828,6107.61,96.54,1
829,6185.53,95.07,1
830,6144.42,87.87,1
831,6142.30,88.71,1
832,6133.62,92.78,1
833,6097.94,95.78,1
834,6109.69,92.11,1
835,6127.78,88.62,1
836,6144.14,85.89,1
837,6109.14,90.80,1
838,6107.69,89.68,1
839,6101.42,86.87,1
840,6162.96,90.71,1
841,6146.83,89.54,1
842,6117.78,89.48,1
843,6156.61,85.33,1
844,6139.57,91.13,1
845,6152.46,96.06,1
846,6118.92,89.84,1
847,6159.20,97.89,1
848,6126.07,80.82,1
849,6129.18,89.22,1
850,6044.35,89.56,1
851,6125.37,85.42,1
852,6164.89,87.58,1
853,6101.37,90.13,1
854,6158.93,91.14,1
855,6072.12,94.58,1
856,6075.82,87.79,1
857,6071.31,91.70,1
858,6129.48,94.16,1
859,6126.25,97.74,1
860,6118.58,95.13,1
861,6143.82,90.83,1
862,6118.23,94.52,1
863,6077.71,93.73,1
864,6071.52,89.69,1
865,6067.75,81.79,1
866,6090.67,91.38,1
867,6087.69,95.90,1
